"text,created_at"
"Congressman Greg Pence (@GregPenceIN) is doing a phenomenal job for Indiana. His brother our great Vice President Mike Pence and I need Greg to help us keep our Country SAFE and fight for our #MAGA agenda. Greg has my Complete &amp; Total Endorsement! #IN06 https://t.co/r5IwFc05Nj,06-02-2020 13:25:48"
"Congressman Russ Fulcher (@RussFulcher) is an incredible Representative for the people of Idaho! He fully supports the Border Wall Life our Vets and the Second Amendment. Russ has my Complete and Total Endorsement! #ID01,06-02-2020 13:25:58"
"Congressman Mike Simpson (@MikeSimpson4ID) is a tremendous champion for Idaho! Mike is working hard for our incredible Farmers and he strongly supports our Military Vets and the Second Amendment. Mike has my Complete and Total Endorsement! #ID02 https://t.co/vthaNF7s9f,06-02-2020 13:26:07"
"Senator Mike Rounds (@RoundsforSenate) continues to deliver for South Dakota! Mike is working hard for our incredible Farmers and he is strong on Trade Military our Vets and the Second Amendment. Mike has my Complete and Total Endorsement! #SDSenhttps://t.co/qM8LsXR9tN,06-02-2020 13:26:17"
"Congressman Dusty Johnson (@DustyJohnson) is a phenomenal advocate for the people of South Dakota! He helped us deliver USMCA for our Farmers and he is strong on the Border and our Second Amendment. Dusty has my Complete and Total Endorsement! #SDALhttps://t.co/H413O6RvwN,06-02-2020 13:26:46"
"Chris Jacobs (@JacobsNY27) will be a tremendous Congressman who will always fight for New York. He is Strong on the Border our Military and Vets and the Second Amendment. Chris has my Complete and Total Endorsement! Vote for Chris on June 23! #NY27 https://t.co/LYowAxQqfp,06-02-2020 13:28:27"
"Yesterday was a bad day for the Cuomo Brothers. New York was lost to the looters thugs Radical Left and all others forms of Lowlife &amp; Scum. The Governor refuses to accept my offer of a dominating National Guard. NYC was ripped to pieces. Likewise Fredo’s ratings are down 50%!,06-02-2020 13:33:43"
"Vaccines are coming along really well. Likewise therapeutics. Moving faster than anticipated. Good news ahead (in many ways)!,06-02-2020 14:32:37"
"Republicans get out and vote today for those great candidates that will lead to big victories on November 3rd. MAKE AMERICA GREAT AGAIN!,06-02-2020 14:41:58"
"NYC CALL UP THE NATIONAL GUARD. The lowlifes and losers are ripping you apart. Act fast! Don’t make the same horrible and deadly mistake you made with the Nursing Homes!!!,06-02-2020 15:10:02"
"SILENT MAJORITY!,06-02-2020 15:18:53"
"New York City put on an 11:00 P.M. CURFEW last night. No wonder they ripped the place apart. Should be 7:00 P.M. CALL UP THE NATIONAL GUARD. #SAVENYC,06-02-2020 16:12:16"
"Great new book out today by @DineshDSouza — get your copy today! https://t.co/N0cuVpqK8E,06-02-2020 17:39:07"
"Decorated combat Vet @MarthaMcSally has a great new book Dare to Fly which tells her story as the first American woman to fly a fighter jet in combat. She’s tough tested and true. A real fighter for Arizona. Get her book today at https://t.co/M7IbBaOY6g!,06-02-2020 18:04:40"
"My Admin has done more for the Black Community than any President since Abraham Lincoln. Passed Opportunity Zones with @SenatorTimScott guaranteed funding for HBCU’s School Choice passed Criminal Justice Reform lowest Black unemployment poverty and crime rates in history…,06-02-2020 18:27:55"
"...AND THE BEST IS YET TO COME!,06-02-2020 18:27:56"
"Macy’s at 34th. Street long the largest single department store anywhere in the world &amp; a point of pride in NYC was devastated yesterday when hoodlums and thieves vandalized it breaking almost all of its large panels of storefront glass. What a shame. Bring in National Guard!,06-02-2020 19:38:27"
"https://t.co/IewZefNKsy,06-02-2020 19:51:25"
"Sleepy Joe has been in politics for 40 years and did nothing. Now he pretends to have the answers. He doesn’t even know the questions. Weakness will never beat anarchists looters or thugs and Joe has been politically weak all of his life. LAW &amp; ORDER!,06-02-2020 19:56:27"
"Washington D.C. was the safest place on earth last night!,06-02-2020 23:22:11"
"“Media Falsely Claimed Violent Riots Were Peaceful And That Tear Gas Was Used Against Rioters” https://t.co/oAXU6WMQPf,06-03-2020 00:16:23"
"Had long planned to have the Republican National Convention in Charlotte North Carolina a place I love. Now @NC_Governor Roy Cooper and his representatives refuse to guarantee that we can have use of the Spectrum Arena - Spend millions of dollars have everybody arrive and...,06-03-2020 01:06:32"
"...then tell them they will not be able to gain entry. Governor Cooper is still in Shelter-In-Place Mode and not allowing us to occupy the arena as originally anticipated and promised. Would have showcased beautiful North Carolina to the World and brought in hundreds of...,06-03-2020 01:06:32"
"...millions of dollars and jobs for the State. Because of @NC_Governor we are now forced to seek another State to host the 2020 Republican National Convention.,06-03-2020 01:06:33"
"RT @realDonaldTrump: LAW &amp; ORDER!,06-03-2020 01:08:19"
